Order,Family,Host,Hantavirus (Name in paper),Scientific Name,ICTV,NewOld,Year,Ssegment,Msegment,Lsegment,In Millholand review?,References
Rodentia,Muridae,Apodemus agrarius, Kurkino,Orthohantavirus dobravaense,Yes,old,2009,GQ303582.1,,,Yes,"Lee et al. (1978, 1982a, b), Plyusnin et al. (1997, 2003), Nemirov et al. (1999), Klempa et al. (2003b), Sironen et al. (2005), Plyusnin et al. (2006), Jakab et al. (2007), Li et al. (2007), Schlegel et al. (2009), Liu et al. (2012), Klempa et al. (2013)"
Rodentia,Cricetidae,Akodon simulator,Laguna Negra,Orthohantavirus negraense,No,new,1995,AF005727.1,AF005728.1,,Yes,Levis et al. (2004)
Rodentia,Cricetidae,Calomys callidus,Laguna Negra,Orthohantavirus negraense,No,new,1995,AF005727.1,AF005728.1,,Yes,Travassos da Rosa et al. (2012)
Rodentia,Cricetidae,Calomys callosus,Laguna Negra,Orthohantavirus negraense,No,new,1995,AF005727.1,AF005728.1,,Yes,"Levis et al. (2004), Carroll et al. (2005)"
Rodentia,Cricetidae,Calomys laucha,Laguna Negra,Orthohantavirus negraense,No,new,1995,AF005727.1,AF005728.1,,Yes,Johnson et al. (1997)
Rodentia,Muridae,Mus musculus, Leakey(Hantaan),other orthohantavirus,No,old,,,U00469,,Yes,"Baek et al. (1988), Arthur et al. (1992) Childs et al. (1994), Weidmann et al. (2005), Jiang et al. (2008)"
Rodentia,Cricetidae,Oligoryzomys flavescens, Lechiguanas,Orthohantavirus andesense,Yes,new,1992,AF482714.1,AF028022.1,,Yes,"Levis et al. (1998), Gonzalez Della Valle et al. (2002), Delfraro et al. (2003)"
Rodentia,Cricetidae,Oligoryzomys fulvescens, Lechiguanas,Orthohantavirus andesense,Yes,new,1992,AF482714.1,AF028022.1,,Yes,"Levis et al. 1997, Vincent et al. (2000), Enria et al. (2001), Delfraro et al. (2003), Fulhorst et al. (2004), Salazar-Bravo et al. (2004), Armién et al. (2009), Hanson et al. (2011), de Thoisy et al. (2014), González-Ittig et al. (2014)"
Rodentia,Cricetidae,Oligoryzomys nigripes,Lechiguanas,Orthohantavirus andesense,Yes,new,1992,AF482714.1,AF028022.1,,Yes,"Vasconcelos et al. (1997), Chu et al. (2003), Suzuki et al. (2004), Raboni et al. (2005), (2009), Padula et al. (2007), Delfraro et al. (2008), Vadell et al. (2011), de Araujo et al. (2012)"
Rodentia,Cricetidae,Peromyscus boylii,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,"Childs et al. (1994), Sanchez et al. (2001)"
Rodentia,Cricetidae,Peromyscus hylocetes,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Peromyscus levipes,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Peromyscus melanotis,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Peromyscus ochraventer,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Peromyscus spicilegus,Limestone Canyon,other orthohantavirus,No,new,2019,OR148902.1,OR148903.1,OR148904.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Eothenomys miletus,Luxi,Orthohantavirus luxiense,Yes,old,2009,HM756286.1,HM756287.1,HQ404253.1,Yes,Zhang et al. (2011)
Rodentia,Cricetidae,Necromys benefactus,Maciel,Orthohantavirus andesense,Yes,new,1997,AF482716.1,,,Yes,"Levis et al. (1998), Bohlman et al. (2002)"
Rodentia,Cricetidae,Oligoryzomys fulvescens, Maporal ,Orthohantavirus maporalense,Yes,new,1997,AY267347.1,AY363179.1,EU788002.1,Yes,"Levis et al. 1997, Vincent et al. (2000), Enria et al. (2001), Delfraro et al. (2003), Fulhorst et al. (2004), Salazar-Bravo et al. (2004), Armién et al. (2009), Hanson et al. (2011), de Thoisy et al. (2014), González-Ittig et al. (2014)"
Rodentia,Cricetidae,Sigmodon alstoni, Maporal,Orthohantavirus maporalense,Yes,new,1997,AY267347.1,AY363179.1,EU788002.1,Yes,"Fulhorst et al. (1997), Milazzo et al. (2010)"
Rodentia,Cricetidae,Oligoryzomys fulvescens, Maripa,Orthohantavirus mamorense,Yes,new,2009,JQ611712.1,JQ611714.1,JQ611713.1,Yes,"Levis et al. 1997, Vincent et al. (2000), Enria et al. (2001), Delfraro et al. (2003), Fulhorst et al. (2004), Salazar-Bravo et al. (2004), Armién et al. (2009), Hanson et al. (2011), de Thoisy et al. (2014), González-Ittig et al. (2014)"
Rodentia,Cricetidae,Zygodontomys brevicauda, Maripa ,Orthohantavirus mamorense,Yes,new,2009,JQ611712.1,JQ611714.1,JQ611713.1,Yes,"Vincent et al. (2000) Salazar-Bravo et al. (2004), Armién et al. (2009) Londoño et al. (2011)j, de Thoisy et al. (2014)"
Rodentia,Cricetidae,Peromyscus leucopus, Monongahela,Orthohantavirus sinnombreense,No,new,1997,MH539867.1,MH539866.1,MH539865.1,Yes,"Hjelle et al. (1995c), Morzunov et al. (1998), Rhodes et al. (2000), Kariwa et al. (2007), Milazzo et al. (2012)"
Rodentia,Cricetidae,Peromyscus maniculatus, Monongahela,Orthohantavirus sinnombreense,No,new,1997,MH539867.1,MH539866.1,MH539865.1,Yes,"Childs et al. (1994), Schmaljohn et al. (1995), Rawlings et al. (1996), Song et al. (1996), Drebot et al. (2001), Sinclair et al. (2007)"
Rodentia,Cricetidae,Peromyscus aztecus,Montano,Orthohantavirus montanoense,Yes,new,2006,AB620100.1,AB620101.1,AB620102.1,Yes,Saasa et al. (2012)
Rodentia,Cricetidae,Peromyscus beatae, Montano,Orthohantavirus montanoense,Yes,new,2006,AB620100.1,AB620101.1,AB620102.1,Yes,Kariwa et al. (2012) Saasa et al. (2012)
Rodentia,Cricetidae,Myodes regulus,Muju,Orthohantavirus puumalaense,Yes,old,2011,JX028273.1,JX028272.1,JX028271.1,Yes,Song et al. (2007a)
Rodentia,Cricetidae,Sigmodon hispidus, Muleshoe,other orthohantavirus,No,new,2016,KX066124.1,KX066125.1,,Yes,"Ravkov et al. (1995), Rollin et al. (1995), Rawlings et al. (1996), Torrez-Martinez et al. (1998)"
Rodentia,Cricetidae,Zygodontomys brevicauda, Necoli,Orthohantavirus necocliense,No,new,2011,KF481954.1,KF494345.1,KF735065.1,Yes,"Vincent et al. (2000) Salazar-Bravo et al. (2004), Armién et al. (2009) Londoño et al. (2011)j, de Thoisy et al. (2014)"
Rodentia,Cricetidae,Oligoryzomys chacoensis, Neembucu,Orthohantavirus andesense,Yes,new,1996,DQ345763.1,,,Yes,"Levis et al. (1997, 1998, 2004), Gonzalez Della Valle et al. (2002),Chu et al. (2003)"
Rodentia,Cricetidae,Peromyscus leucopus, New York ,Orthohantavirus sinnombreense,Yes,new,1994,U36801.1,U36801.1,U09488.1,Yes,"Hjelle et al. (1995c), Morzunov et al. (1998), Rhodes et al. (2000), Kariwa et al. (2007), Milazzo et al. (2012)"
Rodentia,Cricetidae,Akodon azarae,Pergamino,Orthohantavirus andesense,Yes,new,1997,AF482717.1,,,Yes,Levis et al. (1998) Bohlman et al. (2002)
Rodentia,Cricetidae,Oryzomys couesi, Playa de Oro,other orthohantavirus,No,new,2004,EF534079.1,EF534080.1,,Yes,"Milazzo et al. (2006), Chu et al. (2008)"
Rodentia,Cricetidae,Sigmodon mascotensis,Playa de Oro,other orthohantavirus,No,new,2004,EF534079.1,EF534080.1,,Yes,Chu et al. (2008)
Rodentia,Cricetidae,Microtus montanus, Prospect Hill,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,Rowe et al. (1995)
Rodentia,Cricetidae,Microtus pennsylvanicus,Prospect Hill,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,Lee et al. (1985)
Rodentia,Cricetidae,Peromyscus boylii, Prospect Hill ,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,"Childs et al. (1994), Sanchez et al. (2001)"
Rodentia,Cricetidae,Peromyscus maniculatus, Prospect Hill ,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,"Childs et al. (1994), Schmaljohn et al. (1995), Rawlings et al. (1996), Song et al. (1996), Drebot et al. (2001), Sinclair et al. (2007)"
Rodentia,Cricetidae,Peromyscus truei,Prospect Hill ,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,"Childs et al. (1994), Hjelle et al. (1996)"
Rodentia,Muridae,Mus musculus, Prospect Hill,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,"Baek et al. (1988), Arthur et al. (1992) Childs et al. (1994), Weidmann et al. (2005), Jiang et al. (2008)"
Rodentia,Sciuridae,Tamias dorsalis,Prospect Hill ,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,Childs et al. (1994)
Rodentia,Sciuridae,Tamias quadrivittatus,Prospect Hill,Orthohantavirus prospectense,Yes,new,1985,Z49098.1,X55129.1,EF646763.1,Yes,Childs et al. (1994)
Rodentia,Cricetidae,Myodes glareolus,Puumala,Orthohantavirus puumalaense,Yes,old,1981,X61035.1,X61034.1,Z66548.1,Yes,"Brummer-Korvenkontio et al. (1980), Lundkvist et al. (1998), Aberle et al. (1999), Schilling et al. (2007), Plyusnina et al. (2009a), Razzauti et al. (2009)"
Rodentia,Cricetidae,Myodes rufocanus,Puumala,Orthohantavirus puumalaense,Yes,old,1981,X61035.1,X61034.1,Z66548.1,Yes,"Kariwa et al. (1995), Zhang et al. (2007), Dekonenko et al. (2003)"
Rodentia,Cricetidae,Myodes rufocanus, Puumala-like ,Orthohantavirus puumalaense,Yes,old,2002,EF442087.1,EF442093.1,EF442094.1,Yes,"Kariwa et al. (1995), Zhang et al. (2007), Dekonenko et al. (2003)"
Rodentia,Cricetidae,Ondatra zibethicus,Puumala-like,Orthohantavirus puumalaense,Yes,old,2002,EF442087.1,EF442093.1,EF442094.1,Yes,Vahlenkamp et al. (1998)
Rodentia,Cricetidae,Calomys callosus, Rio Mamore,Orthohantavirus mamorense,Yes,new,1996,FJ532244.1,FJ608550.1,FJ809772.1,Yes,"Levis et al. (2004), Carroll et al. (2005)"
Rodentia,Cricetidae,Oligoryzomys microtis,Rio Mamore,Orthohantavirus mamorense,Yes,new,1996,FJ532244.1,FJ608550.1,FJ809772.1,Yes,"Bharadwaj et al. (1997), Powers et al. (1999), Carroll et al. (2005)"
Rodentia,Cricetidae,Oligoryzomys sp.,Rio Mamoré,Orthohantavirus mamorense,Yes,new,,FJ532244.1,FJ608550.1,FJ809772.1,Yes,"Rocha et al. (2011), Firth et al. (2012)"
Rodentia,Cricetidae,Holochilus sciureus,Rio Mearim,Orthohantavirus mamorense,Yes,new,2000,DQ451828.1,,,Yes,Rosa et al. (2005)
Rodentia,Cricetidae,Peromyscus mexicanus,Rio Segundo,other orthohantavirus,No,new,1989,U18100.1,,,Yes,Salazar-Bravo et al. (2004)
Rodentia,Cricetidae,Reithrodontomys creper,Rio Segundo,other orthohantavirus,No,new,1989,U18100.1,,,Yes,Salazar-Bravo et al. (2004)
Rodentia,Cricetidae,Reithrodontomys mexicanus,Rio Segundo,other orthohantavirus,No,new,1989,U18100.1,,,Yes,"Hjelle et al. (1995a), Salazar-Bravo et al. (2004)"
